description,events,eventType,id,place,sources,time,type,url,place.dirName,place.elevation,place.events,place.id,place.locations,place.name,place.sources,place.type
"en le mercredi 1 janvier Publication du rapport Condon. le lundi 6 janvier 2nde réunion du panel de la NAS pour examiner le rapport Condon. le samedi 11 janvier Au National Press Club de , Donald E. Keyhoe tient une conférence de presse du NICAP avec Richard H. Hall, James E. McDonald et David R. Saunders, contestant les conclusions du rapport Condon. le vendredi 17 janvier Observation à <Crittenton (Virginie). le dimanche 19 janvier Time titre sur ""la fin des soucoupes"". le dimanche 26 janvier Le Washington Post relate que, quelques jours plus tôt, un grand vol de canards a été frappé de mort subite au-dessus de Saint-Mary's City (Maryland), comme sil venait d'être touché par une explosion invisible et silencieuse. D'après le quotidien, les oiseaux souffraient tous de fractures et d'hémorragies avant de toucher le sol.","",sighting,1969-01$WashingtonDC,,,"",,"",Washington (DC),"",place,""""","""",s1,"""",,",1969-01,event,https://rr0.org/time/1/9/6/9/index.html#1969-01
en,"",sighting,1969-03$,,"",1969-03,event,https://rr0.org/time/1/9/6/9/index.html#1969-03
en le jeudi 3 avril Jacques Vallée apprend d'un ami que Jerome E. Clark est devenu si convaincu qu'une invasion extraterrestre est imminente qu'il est au bord d'une crise nerveuse. en 27 Démission du général De Gaulle.,"",sighting,1969-04$,,"""""""Kottmeyer, Martin S."""""","""",s2,"""",,""Still Waiting: A List of Predictions from the 'UFO Culture'""",1969-04,event,https://rr0.org/time/1/9/6/9/index.html#1969-04
en,"",sighting,1969-05$,,"",1969-05,event,https://rr0.org/time/1/9/6/9/index.html#1969-05
"en le jeudi 5 juin Le météore photographié par Harkrader À Alan Harkrader (photographe d'un journal d'alerte) prend un cliché d'un météore se fragmentant dans le ciel, permettant d'expliquer les observations de plusieurs pilotes dans la région décrivant un escadron d'ovnis. le mardi 24 juin Donald C. Crowhurst laisse un long testament philosophique dans son journal n° 2. le dimanche 15 juin George Pompidou est élu président de la République. le lundi 30 juin Le vapeur britannique Maplebank repère un navire d'une vingtaine de mètres de long qui flotte la quille en l'air.","",sighting,1969-06$PeoriaIllinois,,,"",,"",Peoria (Illinois),"",place,"""""""Klass, P. J."""""","""",s3,"""",,UFOs - The Public Deceived,""""""Klass, P. J."""""","""",s4,"""",,""Were Kenneth Arnold's UFOs Actually Meteor-Fireballs?""",1969-06,event,https://rr0.org/time/1/9/6/9/index.html#1969-06
en,"",sighting,1969-07$,,"",1969-07,event,https://rr0.org/time/1/9/6/9/index.html#1969-07
en le mardi 5 août Mariner 7 survole les pôles de Mars. le mardi 19 août Les responsables météo de la base aéronavale de aperçoivent un engin sphérique non-identifié.,"",sighting,1969-08$LannBihoueMorbihan,,,"",,"",Lann-Bihoué (Morbihan),"",place,""""","""",s5,"""",,",1969-08,event,https://rr0.org/time/1/9/6/9/index.html#1969-08
"en le lundi 1 septembre la nuit, à Great Barrington, Sheffield, Stockbridge et Egremont (comté de Berkshire, Massachusetts), observations d'ovni. le lundi 29 septembre En France, observation de la rentrée atmosphérique de Cosmos 300.","",sighting,1969-09$,,"",1969-09,event,https://rr0.org/time/1/9/6/9/index.html#1969-09
"en le mercredi 1 octobre Création de la NASDA, l'agence spatiale japonaise. Jimmy Carter, alors gouverneur, observe pendant 10 mn environ et en compagnie de dizaines d'autres témoins un ovni alors qu'il s'apprète à tenir un meeting à. Un Mig 17 cubain se pose en Floride sans avoir été détecté.","",sighting,1969-10$LearyGeorgie,,,"",,"",Leary (Georgie),"",place,"",1969-10,event,https://rr0.org/time/1/9/6/9/index.html#1969-10
en,"",sighting,1969-11$,,"",1969-11,event,https://rr0.org/time/1/9/6/9/index.html#1969-11
"en le mercredi 10 décembre 1969 L'émission Les Dossiers de l'écran est consacrée aux ovnis, avec comme support le roman La Guerre des Mondes de Herbert George Wells. le mercredi 17 décembre 1969 Suite aux recommandations du Rapport Condon, Robert C. Seamans Junior, secrétaire de l'USAF, annonce la fin du projet Blue Book. le vendredi 26 décembre 1969 à le samedi 27 décembre 1969 Symposium de l'AAAS sur les ovnis à. L'association de scientifiques refuse de cautionner le Rapport Condon.","",sighting,1969-12$BostonMassachusetts,,,"",,"",Boston (Massachusetts),"",place,"",1969-12,event,https://rr0.org/time/1/9/6/9/index.html#1969-12
