type,events,url,place,time,description,sources,id,place.name,place.org,place.place.id,place.place.events,place.place.locations,place.place.elevation,place.place.dirName,place.org.type,place.org.dirName,place.org.events,place.org.id,place.org.places,place.org.kind,place.org.parent.type,place.org.parent.dirName,place.org.parent.events,place.org.parent.id,place.org.parent.places,place.org.parent.kind,place.org.parent.parent.type,place.org.parent.parent.dirName,place.org.parent.parent.events,place.org.parent.parent.id,place.org.parent.parent.places,place.org.parent.parent.kind,place.org.parent.parent.parent.type,place.org.parent.parent.parent.dirName,place.org.parent.parent.parent.events,place.org.parent.parent.parent.id,place.org.parent.parent.parent.places,place.org.parent.parent.parent.kind,place.org.parent.parent.parent.parent,place.org.parent,place.place,place.org.parent.parent.parent
case,"",https://rr0.org/time/1/9/9/1/index.html#1991-01-17,,1991-01-17,le Guerre du Golfe.,"",1991-01-17
case,"",https://rr0.org/time/1/9/9/1/index.html#1991-02,,1991-02,en,"",1991-02
case,"",https://rr0.org/time/1/9/9/1/index.html#1991-03,Lamballe (Côtes d'Armor),,,"","",,,1991-03,"Printemps Derniers des témoignages en Belgique ayant débuté en 1989. en le mercredi 6 A , 1 témoin observe 1 point lumineux plus gros qu'une étoile (L'explication d'un laser d'une discothèque voisine n'a pu être retenue car ce jour là elle était fermée). le jeudi 28 A Fameck (Moselle), 1 témoin en voiture observe 3 lumières disposées en triangle dans le ciel, accompagné d'un ronflement continu. le vendredi 29 21 h A Viviez (Aveyron), 1 témoin observe depuis chez lui 1 point lumineux. Cette observation se reproduira plusieurs jours d'affilée. le dimanche 31 Dissolution du pacte de Varsovie. en avril 1991",""""",Cas de type C,s1,""SEPRA"",,,"""","""",PAN classéC,s2,""SEPRA"",,,"""","""",PAN classé C,s3,""SEPRA"",,,""""",1991-03
case,"",https://rr0.org/time/1/9/9/1/index.html,,1991,"Suite à l'intervention de la SOBEPS et de députés européens belges après les observations en Belgique, la Commision de l'Energie européenne décide d'instruire le dossier et parvient à la conclusion qu'une étude européenne des ovnis pourrait être envisagée avec quelque intérêt. Jean-Jacques Velasco surfe sur la vague et se place en première ligne, de sorte que c'est tout naturellement un élargissement des compétences du SEPRA que proposent les députés européens chargés du dossier.","",1991
case,"",https://rr0.org/time/1/9/9/1/index.html#1991-06,,1991-06,"en Le Deep See, un submersible très bien équipé, cherche les traces de galions espagnols coulés au large de la côte de Miami. A leur place, il découvre 5 bombardiers de la seconde guerre mondiale, alignés sur le fond océanique. L'un des avions porterai le même numéro de série et le même indicatif que le leader du vol 19, qui avait quitté sa base le 1945-12-05, et qui n'est jamais rentré. Les plus sceptiques citent alors cet exemple comme un cas classique de pseudomystère inventé de toutes pièces par des enquêteurs maladroits et avides de sensationnel. Le sort du vol 19 semble alors en partie expliqué. Mais pourquoi deux boussoles, qui venaient tout juste d'être soumises à des tests de conformité, tombèrent-elles simultanément en panne ? En fait, malgré la découverte du Deep See, la position exacte des 5 bombardiers demeure un mystère, car finalement, les 5 avions repérés par les chercheurs de trésors n'étaient pas les Avengers du vol 19. Le site s'avéra être une ancienne zone d'exercice, où des avions avaient été régulièrement coulés entre 1943 et 1945. La Marine américaine révéla que l'appareil du lieutenant Taylor portait le même n° de série qu'un avion qui avait sombré dans les eaux du triangle des Bermudes bien avant qu'il n'entreprît cette mission.","",1991-06
case,"",https://rr0.org/time/1/9/9/1/index.html#1991-07,,1991-07,en,"",1991-07
case,"",https://rr0.org/time/1/9/9/1/index.html#1991-08,,1991-08,en,"",1991-08
case,"",https://rr0.org/time/1/9/9/1/index.html#1991-09,,1991-09,en,"",1991-09
case,"",https://rr0.org/time/1/9/9/1/index.html#1991-10,,1991-10,en,"",1991-10
case,"",https://rr0.org/time/1/9/9/1/index.html#1991-11,,1991-11,en le jeudi 28 22:30 Au moins 25 témoins répartis sur la côte atlantique et le sud-ouest voient pendant une dizaine de secondes une boule très lumineuse de couleur verte circulant à grande vitesse sans bruit. Selon certains témoignages cette boule s'est désintégrée dans une gerbe d'étincelles. La direction générale déduite des témoignages semble être sud-est nord-ouest (Il est très vraisemblable qu'il s'agisse de la rentrée atmosphérique d'un débris spatial).,""""",PAN classé B,s4,""SEPRA"",,,""""",1991-11
case,"",https://rr0.org/time/1/9/9/1/index.html#1991-12,,1991-12,en en 10 Des témoins situés dans les Hautes Pyrénées et en Gironde d'un phénomène lumineux (dont les caractéristiques font penser à une rentrée atmosphérique).,""""",PAN classé B,s5,""SEPRA"",,,""""",1991-12
