description,events,id,place,sources,time,type,url,place.name,place.org,place.place.dirName,place.place.elevation,place.place.events,place.place.id,place.place.locations,place.org.dirName,place.org.events,place.org.id,place.org.kind,place.org.parent,place.org.places,place.org.type,place.place
"Début de l'année en Un groupe d'officiers du renseignement de l'USAF liés au projet UFO préparent la diffusion de leurs cas les plus stupéfiants, ainsi que de photos d'ovnis non expliquées. Aucune conclusion finale n'est prévue, bien que les données diffusées pointent fortement vers une réponse interplanétaire. Au dernier moment, les peurs d'officiers de haut-rang font avorter le projet. en février","",1953-01,,"""""""Keyhoe, Donald E."""""","""",s1,"""",The True Report on Flying Saucers,1967,Someone's Watching Over Us",1953-01,sighting,https://rr0.org/time/1/9/5/3/index.html#1953-01
Démarrage du supposé projet Aquarius.,"",1953,,"",1953,sighting,https://rr0.org/time/1/9/5/3/index.html
"Albert K. Bender, éditeur d'un journal sur les ovnis intitulé Space Review, publie une déclaration où il affirme être tombé sur des informations pouvant résoudre le mystère des ovnis mais ne pouvoir le publier parce qu'il en a reçu l'ordre. Il termine sa déclaration par une recommendation de prudence extrême aux autres passionnés d'ovnis, et stoppe ses publications.","",1953,,"",1953,sighting,https://rr0.org/time/1/9/5/3/index.html
Des ovnis au-dessus de laissent tomber des cheveux d'anges. en mars en avril en mai,"",1953,Moscou (Russie),,,,"",,"",""""","""",s2,"""",,1967-12,Clypeus",1953,sighting,https://rr0.org/time/1/9/5/3/index.html
en,"",1953-06,,"",1953-06,sighting,https://rr0.org/time/1/9/5/3/index.html#1953-06
"en juillet Le matin A , par une journée ensoleillée Gabriela Dima, 6 ans (par la suite étudiante en économie), voit un objet étrange au-dessus des champs. Au milieu de celui-ci se trouve une petite fenêtre verte et derrière un visage carré avec des yeux étranges. La fenêtre disparaît alors et l'objet s'envole sans faire de bruit. en août","",1953,"Slobozia, Bucarest (Roumanie)",,,,"",,"","",1953,sighting,https://rr0.org/time/1/9/5/3/index.html
en,"",1953-09,,"",1953-09,sighting,https://rr0.org/time/1/9/5/3/index.html#1953-09
en,"",1953-10,,"",1953-10,sighting,https://rr0.org/time/1/9/5/3/index.html#1953-10
en,"",1953-11,,"",1953-11,sighting,https://rr0.org/time/1/9/5/3/index.html#1953-11
en,"",1953-12,,"",1953-12,sighting,https://rr0.org/time/1/9/5/3/index.html#1953-12
L'équipage d'un Fouga de la base de renonce à poursuivre un engin discoïdal en raison d'une chaleur insupportable ressentie dans l'appareil.,"",1953,Pau (France),,,,"",,"","""""""Guieu, Jimmy"""""","""",s4,"""",,,",1953,sighting,https://rr0.org/time/1/9/5/3/index.html
"Profitant de la vague d'observations d'ovnis en Angleterre et plus généralement en Europe, la BBC réédite l'expérience de CBS et d'Orson Welles en 1938.","",1953,,"",1953,sighting,https://rr0.org/time/1/9/5/3/index.html
