url,place,time,description,sources,id,place.name,place.org.name,place.org.surname,place.org.title,place.org.time,place.org.deprecated,place.org.note,place.org.place,place.org.description,place.org.sources,place.org.tags,place.org.image,place.org.id,place.org.dirName,place.org.url,place.org.events,place.org.type,place.org.places,place.org.kind,place.org.parent,place.place,place.org,place.place.name,place.place.surname,place.place.title,place.place.time,place.place.deprecated,place.place.note,place.place.place,place.place.description,place.place.sources,place.place.tags,place.place.image,place.place.id,place.place.dirName,place.place.url,place.place.events,place.place.type,place.place.locations,place.place.elevation,place.org.parent.name,place.org.parent.surname,place.org.parent.title,place.org.parent.time,place.org.parent.deprecated,place.org.parent.note,place.org.parent.place,place.org.parent.description,place.org.parent.sources,place.org.parent.tags,place.org.parent.image,place.org.parent.id,place.org.parent.dirName,place.org.parent.url,place.org.parent.events,place.org.parent.type,place.org.parent.places,place.org.parent.kind,place.org.parent.parent.name,place.org.parent.parent.surname,place.org.parent.parent.title,place.org.parent.parent.time,place.org.parent.parent.deprecated,place.org.parent.parent.note,place.org.parent.parent.place,place.org.parent.parent.description,place.org.parent.parent.sources,place.org.parent.parent.tags,place.org.parent.parent.image,place.org.parent.parent.id,place.org.parent.parent.dirName,place.org.parent.parent.url,place.org.parent.parent.events,place.org.parent.parent.type,place.org.parent.parent.places,place.org.parent.parent.kind,place.org.parent.parent.parent.name,place.org.parent.parent.parent.surname,place.org.parent.parent.parent.title,place.org.parent.parent.parent.time,place.org.parent.parent.parent.deprecated,place.org.parent.parent.parent.note,place.org.parent.parent.parent.place,place.org.parent.parent.parent.description,place.org.parent.parent.parent.sources,place.org.parent.parent.parent.tags,place.org.parent.parent.parent.image,place.org.parent.parent.parent.id,place.org.parent.parent.parent.dirName,place.org.parent.parent.parent.url,place.org.parent.parent.parent.events,place.org.parent.parent.parent.type,place.org.parent.parent.parent.places,place.org.parent.parent.parent.kind,place.org.parent.parent.parent.parent,place.org.parent.parent.parent,place.org.parent.parent
https://rr0.org/time/1/9/0/9/08/index.html#1909-08-01,"Gore (Southland, Nouvelle-Zélande)",,,,,,,,,,,,,,,,"",place,"",,1909-08-01,"le le le lendemain À , une femme observe de chez elle 3 lumières se déplacer lentement haut dans les airs au-dessus de l'Église catholique de l'est de la ville, puis à le le lendemain encore plus haut, directement au-dessus d'elle. le le lendemain Dans le sud d'Alexandria (Nouvelle-Zélande), observation d'une lumière non identifiée se dirigeant lentement vers l'ouest, puis disparaissant soudainement au bout de 2 mn.","""Gore Evidence"",s1,"""",""Witness de Otago (Nouvelle-Zélande), 2 août 1909"",,""Again Seen at Alexandria"",s2,"""",""Witness de Otago (Nouvelle-Zélande), 2 août 1909"",",1909-08-01
https://rr0.org/time/1/9/0/9/08/index.html#1909-08-03,,1909-08-03,"le Il (le témoin) chevauchait près du champ de courses (de Waipawa) lorsque son cheval devint rétif. Il découvrit que la cause de ce comportement était la présence d'un gros engin en forme de torpille qui le survolait. L'aéronef, affirma-t-il, était peint en gris et 3 personnes étaient visibiles à son bord. L'une d'elles lui cria quelque chose dans une langue inconnue. Le vaisseau monta à une grande altitude, alluma des lumières à sa proue et à sa poupe puis, après avoir décrit un cercle, disparut derrière une colline. La même nuit, un autre habitant vit un engin en forme de bateau en altitude qui émettait un bourdonnement puissant.","Hawkes Bay Herald,s3,"""",6 août 1909,",1909-08-03
https://rr0.org/time/1/9/0/9/08/index.html#1909-08-05,,1909-08-05,"le à le dimanche 8 Observation d'une lumière au-dessus de Goulburn (Nouvelle-Galles-du-sud, Australie), de couleur bleue et effectuant des vas-et-viens dans la nuit.","",1909-08-05
https://rr0.org/time/1/9/0/9/08/index.html#1909-08-09,Coaticook,,,,,,,,,,,,,,,,"",place,"",,1909-08-09,le Les observations cessent brusquement en Nouvelle-Zélande. août 1909 à 20 h À observation d'un aéronef mystérieux.,"""Flight of That Mysterious Airship"",s4,"""",""Daily Record de Sherbrooke (Québec), vendredi 12 août 1909"",",1909-08-09
https://rr0.org/time/1/9/0/9/08/index.html,Peoria (Illinois),,,,,,,,,,,,,,,,"",place,"",,1909-08,"Sur plusieurs miles avant d'arriver à , l'équipage d'un train fait la course avec un vaisseau aérien en forme de cigare.","""Airship In Race With Train"",s5,"""",Evening Gazette de Cedar Rapids (Iowa),",1909-08
https://rr0.org/time/1/9/0/9/08/index.html#1909-08-13T23:00,Glen Innes,,,,,,,,,,,,,,,,"",place,"",,1909-08-13T23:00,"le , des témoins peuvent suivre à la jumelle l'évolution d'un ovni ressemblant à un toit retourné dont la partie inférieure aurait été allumée, et qui dirige un rayon vers le sol.","",1909-08-13T23:00
https://rr0.org/time/1/9/0/9/08/index.html#1909-08-13,Magog (Quebec),,,,,,,,,,,,,,,,"",place,"",,1909-08-13,"le Depuis sa ferme à 2 miles de , Richard McDermott observe 1 puis 2 et 3 lumières voguer pendant 15 mn.","""Strange Lights Seen Near Magog"",s6,"""",Daily News de Sherbrooke (Quebec),",1909-08-13
https://rr0.org/time/1/9/0/9/08/index.html#1909-08-22,Cookshire,,,,,,,,,,,,,,,,"",place,"",,1909-08-22,"le La nuit À des habitants de la ville observent pendant 1 h 30 2 lumières verte et rouge semblant portées sur un corps difficilement discernable. La nuit Dans le nord de Montclair (New Jersey), on voit un aéronef passer.","""Still Seeing The Wonderful Airship"",s7,"""",Daily Record de Sherbrooke (Québec),,""Airship Over Montclair"",s8,"""",New York Times,",1909-08-22
https://rr0.org/time/1/9/0/9/08/index.html,,1909-08,"Les airships se déplacent du sud au nord de l'archipel, où ils se manifestent.","",1909-08
https://rr0.org/time/1/9/0/9/08/index.html,Pioche,,,,,,,,,,,,,,,,"",place,"",,1909-08,"A , observation d'un aéronef en direction de Salt Lake City.","""Mysterious Ship of the Air Reported to Be Coming In Direction of Salt Lake"",s9,"""",Salt Lake Herald,",1909-08
