url,place,time,description,sources,id,place.name,place.org.type,place.org.dirName,place.org.events,place.org.id,place.org.places,place.org.kind,place.org.parent,place.place,place.org,place.place.id,place.place.events,place.place.locations,place.place.elevation,place.place.dirName,place.org.parent.type,place.org.parent.dirName,place.org.parent.events,place.org.parent.id,place.org.parent.places,place.org.parent.kind,place.org.parent.parent.type,place.org.parent.parent.dirName,place.org.parent.parent.events,place.org.parent.parent.id,place.org.parent.parent.places,place.org.parent.parent.kind,place.org.parent.parent.parent.type,place.org.parent.parent.parent.dirName,place.org.parent.parent.parent.events,place.org.parent.parent.parent.id,place.org.parent.parent.parent.places,place.org.parent.parent.parent.kind,place.org.parent.parent.parent.parent,place.org.parent.parent.parent,place.org.parent.parent
https://rr0.org/time/1/9/5/6/index.html#1956-01,Hérat (Afghanistan,,,"","",,,1956-01,"en le vendredi 13 Morris Ketchum Jessup reçoit la 1ʳᵉ lettre de Carl Meredith Allen 🤥. le vendredi 27 Au dessus de , à 80 km de la frontière entre l'URSS et l'Iran), observation d'un ovni en forme de rectangle.","",1956-01
https://rr0.org/time/1/9/5/6/index.html#1956-02,Nouvelle-Zélande,,,"","",,,1956-02,"en le vendredi 3 à le mardi 24 Au large de la et des îles Fidji, on observe 5 fusées d'origine inconnue dans le ciel, une sorte de sous-marin, un objet sombre, un navire étrange sans mât ni cheminée, puis une violente explosion dans le ciel. le jeudi 9 Un mémoradum intitulé Responsabilités liées aux Objets Volants Non-Indentifiés assigne à l'ASD l'archivage des dossiers concernant le sujet. le dimanche 12 23:25 Dans la baie de Goose (Labrador), Bowen, pilote d'un F-89 et Crawford, observateur radar, observent durant 1 mn un objet rouge et vert circuler rapidement autour de leur appareil. Ils le voient également au radar. le vendredi 17 22:50 L'aéroport d'Orly détecte un objet volant non identifié sur son radar. le dimanche 19 06:07 A Houston (Texas), l'équipage d'un Super Constellation de Eastern Airlines voit une lumière blanche intense se déplacer 4 à 5 fois plus vite que leur appareil. Elle est évitée par le pilote.",""""",Cas Blue Book n° 3969 non résolu,s1,"""",,,"""","""",Cas Blue Book n° 3977 non résolu,s2,"""",,,""""",1956-02
https://rr0.org/time/1/9/5/6/index.html#1956-03,McKinney (Texas),,,"","",,,1956-03,"Printemps en en avril 1956 le mercredi 4 15:15 A , Roy Hall, capitaine à la retraite de l'US Army, Charles Anderson et d'autres témoins observent à l'aide d'un télescope 6 pouces — d'autres à l'aide d'un télescope 55-200x — un énorme objet oblong avec 2 lignes autour de son milieu, rester stationnaire durant 6 h. Le capitaine George T. Gregory succède à Charles Hardin à la tête du projet Blue Book. en mai 1956 A Uniontown (Alabama), des témoins rapportent avoir vu untrès petite forme nuageuse noire dégager une pluie normale, bien que restreinte à une très petite zone de 200 pieds. Puis le nuage devint blanc et des poissons vivants commençèrent à en pleuvoir. Les poissons étaient de 3 espèces : poisson-chat, bar et brème. La plupart sont toujours vivants et les résidants locaux les rassemblent. On raconte qu'ils ont fait un bon repas.",""""",Cas Blue Book n° 4050 non résolu,s3,"""",,,""""",1956-03
https://rr0.org/time/1/9/5/6/index.html#1956-06,,1956-06,en,"",1956-06
https://rr0.org/time/1/9/5/6/index.html#1956-07,,1956-07,en,"",1956-07
https://rr0.org/time/1/9/5/6/index.html#1956-08,,1956-08,en,"",1956-08
https://rr0.org/time/1/9/5/6/index.html#1956-09,,1956-09,en,"",1956-09
https://rr0.org/time/1/9/5/6/index.html#1956-10,Budapest,,,"","",,,1956-10,"en le mardi 23 À , intervention soviétique. le vendredi 26 À Broadmoor (Californie), un singe mort tombe du ciel, s'écrasant à travers le linge suspendu de Mme Faye Swanson. le lundi 29 Crise de Suez.","",1956-10
https://rr0.org/time/1/9/5/6/index.html#1956-11,Saint Louis         (Missouri),,,"","",,,1956-11,"en le le lendemain A 60 miles à l'est de , le capitaine de USAF W. M. Lyons, Chef de la Division de Renseignement (Bureau de Reconnaissance Météo Aérienne) pilote un jet T-33 d'entraînement. Il voit une lumière orange avec une teinte bleue voler à travers le ciel durant 2 mn. le mardi 6 Réélection du président Dwight David Eisenhower. le vendredi 30 48 A la base de l'USAF de Charleston (Caroline du Sud), le major D. D. Grimes, navigateur aérien de l'USAF, voit un objet voler au-dessus de l'eau durant 10 mn à une altitude estimée à 100 pieds.",""""",Cas Blue Book n° 4489 non résolu,s4,"""",,,"""","""",Cas Blue Book n° 4543 non résolu,s5,"""",,,""""",1956-11
https://rr0.org/time/1/9/5/6/index.html#1956-12,,1956-12,"en Couverture de Fate en décembre sur l'observation de l'aéroport de Marignane en octobre 1952 le lundi 31 02:10 A l'île de Guam, le 1er lieutenant de l'USAF Ted Brunson pilote un jet d'interception F-86D et observe un objet rond et blanc voler sous son appareil. Il est incapable de virer aussi sec que l'objet.",""""",Cas Blue Book n° 4577 non résolu,s6,"""",,,""""",1956-12
https://rr0.org/time/1/9/5/6/index.html,,1956,Fin de l'année : 6 pilotes du SAC commencent l'entraînement du pilotage de U-2 à Groom Lake.,""""",Skunk Works,s7,""""""Rich, Ben R."""""",,1994,""""",1956
https://rr0.org/time/1/9/5/6/index.html,,1956,"Edward J. Ruppelt publie The Report on Unidentified Flying Objects, un livre où il fait diverses révélations.","",1956
https://rr0.org/time/1/9/5/6/index.html,Groenland,,,"","",,,1956,"Lors d'une reconnaissance aérienne de l'URSS des glaces au , l'équipage repère un appareil discoïdal sans ailes ni antennes, ni hublot, ni gaz d'échappement ou traînées de condensation. Pensant qu'il s'agit d'un appareil américain, le Tupolev se dissimule dans les nuages. Quand il en ressort 40 mn plus tard, l'appareil inconnu est toujours à sa gauche. Après 15 mn de vol parallèle, l'engin s'élève et disparaît à une vitesse incroyable.","",1956
https://rr0.org/time/1/9/5/6/index.html,,1956,Parution en France de Alerte dans le ciel et Black out sur les soucoupes volantes.,"",1956
https://rr0.org/time/1/9/5/6/index.html,,1956,Donald Keyoe démissionne de l'armée américaine et fonde à Washington le NICAP.,"",1956
