url,place,dateTime,description,sources,id,place.name,place.org.dirName,place.org.code,place.org.places,place.org.kind,place.org.parent,place.place,place.org,place.place.locations,place.place.elevation,place.place.dirName,place.place.data,place.org.parent.dirName,place.org.parent.code,place.org.parent.places,place.org.parent.kind,place.org.parent.parent.dirName,place.org.parent.parent.code,place.org.parent.parent.places,place.org.parent.parent.kind,place.org.parent.parent.parent.dirName,place.org.parent.parent.parent.code,place.org.parent.parent.parent.places,place.org.parent.parent.parent.kind,place.org.parent.parent.parent.parent,place.org.parent.parent.parent,place.org.parent.parent
https://rr0.org/time/1/9/5/7/05/index.html#1957-05-02T06:55,base aérienne d'Edwards (Californie),,"",,,,1957-05-02T06:55,"à jeudi 2 07:20 À la James D. Bittick et John R. Gettys, Jr., des opérateurs de photothéodolite civils, roulent en camion vers le site d'Askania n° 4 lorsqu'ils observent un phénomène au-dessus d'eux à une distance qu'ils estiment à 500 yards. Ils le signalent par radio à leur superviseur Frank Baker qui leur dit de mettre en place la caméra et essayer de le filmer, ce qu'ils font au bout de 10 minutes. Ils photographient ce qu'ils décriront comme un objet doré et lumineux avec un dôme, en forme de soucoupe, avec des trous ou ouvertures autour du dôme de 100 pieds de diamètre environ à environ 1 mile au loin au nord, dirigé vers l'est (les photos montrent des objets multiples?). Les images au photothéodolite disponibles n° 614, 620 et 651 (609 trop flou, coupé) montrent un azimut de 10°28', une élévation de 2°24' se décalant à l'Est à l'azimut 40°30' et une élévation 1°0'. Disparu à 5 miles environ. Interception par chasseur à réaction possible. Observation de 25 minutes, taille de 8 pleines lunes ? photo-theodolite (L'explication d'un ballon météo avec dégonflement lent a été contestée par le Colonel Klein (sp?) de la base d'Edward, analysant la trajectoire effective du ballon et la direction du vent) ;.",",s1,""""""Tulien, Thomas"""""",,,Jan Aldrich,s2,"""",,,McDonald 1968 pp. 75,s3,"""",85,,Mar-May 1957 pp. 67-68,s4,""""""Gross, Loren"""""",,,,s5,"""",,",1957-05-02T06:55
https://rr0.org/time/1/9/5/7/05/index.html#1957-05-03,,1957-05-03,.,",s6,""""""Cooper, Leroy Gordon"""""",,",1957-05-03
https://rr0.org/time/1/9/5/7/05/index.html#1957-05-04T03:25,,1957-05-04T03:25,"[04:00 PDT?] Sur la côte californienne, le copilote USAF d'un appareil de patrouille radar avec la 552ᵉ Escadrille AEW&C voit une lumière rouge jaunâtre à 10 000 pieds passer devant son appareil. L'observation a duré 30 s.","Weinstein,s7,"""",D.Index du FUFOR,",1957-05-04T03:25
https://rr0.org/time/1/9/5/7/05/index.html#1957-05-10,Beaucourt-sur-l'Ancre (Somme),,"",,,,1957-05-10,", 3 petits êtres à proximité d'un engin. La veille et l'avant-veille, des habitants auraient remarqué les allées et venues dans la campagne environnante d'une 2 CV grise pilotée par un homme élégant, vêtu d’un costume pied de poule, et inconnu au pays. Ce dernier aurait abandonné le véhicule devant une gare de la région.","Trois ""objets non identifiés"" atterrissent en France : Vins,s8,""Jimmy GuieuMarc Thirouin,Y. de Saint-Aubin,Jules Becquet,"",""Palada, Beaucourt, avril-mai 1957 (Enquêtes Ouranos), Ouranos n° 21, septembre 1957"",,""Les rendez-vous Ovni-Voiture"" in ""Les extra-terrestres qui sont parmi nous"",s9,""""""Couten, François < Macé, Christian"""""",,",1957-05-10
https://rr0.org/time/1/9/5/7/05/index.html#1957-05-12,Moab (Utah),,"",,,,1957-05-12,", un ovni bleu-vert rond observé passant sous l'altitude de l'observateur.","UFO Evidence,s10,"""",""NICAP, IV"",",1957-05-12
https://rr0.org/time/1/9/5/7/05/index.html#1957-05-15,,1957-05-15,Inauguration du cosmodrome de Baïkonour.,"",1957-05-15
https://rr0.org/time/1/9/5/7/05/index.html#1957-05-20,,1957-05-20,Le décret ordonnant la création du lanceur russe R7 est signé.,"",1957-05-20
https://rr0.org/time/1/9/5/7/05/index.html#1957-05-27T01:00,Saint-André-Treize-Voies (Vendée,,"",,,,1957-05-27T01:00,", à côté de Montaigu), un homme (ouvrier des abattoirs de La Roche-sur-Yon, 33 ans) voit dans un champ de régras (ou de trèfle) un objet circulaire blanc lumineux posé sur le sol qui se met à décoller à la verticale vers le ciel, faisant un bruit comme un aspirateur, en s'éteignant comme une lumière petit à petit. Le lendemain matin, l'homme retournera sur place, constant que l'herbe est légèrement couchée. Il va le signaler à la mairie de la commune..","""En Vendée"",s11,""Gallais"",""LDLN n° 168, 1976, p. 6"",",1957-05-27T01:00
https://rr0.org/time/1/9/5/7/05/index.html#1957-05-29T15:03,Houma (Louisiane),,"",,,,1957-05-29T15:03,", observation de 14 mn.","Liste de McDonald,s12,"""",,",1957-05-29T15:03
https://rr0.org/time/1/9/5/7/05/index.html#1957-05-30T09:01,Detroit (Michigan),,"",,,,1957-05-30T09:01,", observation de 30 s.","Liste de McDonald,s13,"""",,",1957-05-30T09:01
https://rr0.org/time/1/9/5/7/05/index.html#1957-05-31,Kent (Royaume-Uni),,"",,,,1957-05-31,"Dans le , un avion de ligne de cat. 3 connaît une défaillance radio pendant une observation d'ovni. Les fonctions normales reviennent une fois l'ovni parti.","""1957 UFO Wave Sightings"",s14,"""",,",1957-05-31
