description,events,eventType,id,place,place.dirName,place.elevation,place.events,place.id,place.locations,place.name,place.sources,place.type,sources,time,type,url
,"",sighting,1951-01$,,"",1951-01,event,https://rr0.org/time/1/9/5/1/index.html#1951-01
,"",sighting,1951-02$,,"",1951-02,event,https://rr0.org/time/1/9/5/1/index.html#1951-02
,"",sighting,1951-03$,,"",1951-03,event,https://rr0.org/time/1/9/5/1/index.html#1951-03
,"",sighting,1951-04$,,"",1951-04,event,https://rr0.org/time/1/9/5/1/index.html#1951-04
Fin du mois La section T-2 de l'AMC devient l'ATIC.,"",sighting,1951-05$,,"",1951-05,event,https://rr0.org/time/1/9/5/1/index.html#1951-05
"Eté Un scientifique néo-zélandais, le docteur Rolf Alexander, au cours d'un entretien avec le général George Catlett Marshall, reit de cet officier supérieur les confidences suivantes : les ovnis existent et sont pilotés par des extraterrestres, ces êtres sont pacifiques et les autorités sont conscientes qu'ils ne constituent pas une menace pour la planète, l'USAF a ordonné de n'entreprendre aucune action contre ces engins, il y a eu 3 atterrissages d'ovnis qui se sont avérés désastreux pour leurs occupants. juillet août","",sighting,1951-06$,,"",1951-06,event,https://rr0.org/time/1/9/5/1/index.html#1951-06
,"",sighting,1951-09$,,"",1951-09,event,https://rr0.org/time/1/9/5/1/index.html#1951-09
"En , un groupe d'aborigènes Unmatjera observe 1 objet circulaire et brillant qui atterrit à côté d'un engin semblable, d'environ 12 m de diamètre. Quelques mn plus tard, un nain vêtu d'un costume brillant et ayant une tête ronde et brillante sort d'un des objets et entra dans l'autre : les 2 objets décollent en bourdonnant.","",sighting,1951$AustralieCentrale,,,"",,"",Australie centrale,"",place,""""","""",s1,"""",,Edwards",1951,event,https://rr0.org/time/1/9/5/1/index.html
Automne Le projet Twinkle s'achève avec la disparition progressive des phénomènes boules de feu vertes.,"",sighting,1951$,,"",1951,event,https://rr0.org/time/1/9/5/1/index.html
,"",sighting,1951-10$,,"",1951-10,event,https://rr0.org/time/1/9/5/1/index.html#1951-10
,"",sighting,1951-11$,,"",1951-11,event,https://rr0.org/time/1/9/5/1/index.html#1951-11
,"",sighting,1951-12$,,"",1951-12,event,https://rr0.org/time/1/9/5/1/index.html#1951-12
"À , M. Pasquier voit passer à 4 reprises des objets inhabituels.","",sighting,1951$ToursFrance,,,"",,"",Tours (France),"",place,""""","""",s2,"""",,BSAF 1952",1951,event,https://rr0.org/time/1/9/5/1/index.html
"Publication de la version française du livre de Frank Scully, Behind the Flying Saucers, sous le titre Le Mystère des Soucoupes Volantes.","",sighting,1951$,,"",1951,event,https://rr0.org/time/1/9/5/1/index.html
"Naissance en France de la Commission Internationale d'Enquêtes sur les Soucoupes Volantes, qui devient rapidement Ouranos. Fondée par Marc Thirouin, elle regroupe alors toutes les personnes de bonne volonté intéressées par le phénomène.","",sighting,1951$,,"",1951,event,https://rr0.org/time/1/9/5/1/index.html
L'astronaute américain Leroy Gordon Cooper observe pendant 2 jours des ovnis lors de vols d'essai.,"",sighting,1951$,,"",1951,event,https://rr0.org/time/1/9/5/1/index.html
Création du CSI à Log Angeles.,"",sighting,1951$,,"",1951,event,https://rr0.org/time/1/9/5/1/index.html
A Donald K. Slayton prend en chasse un disque à 3000 m qui l'avait approché à 150 m. L'ovni se dérobe à grande vitesse.,"",sighting,1951$city97415,,,"",,"",,"",place,""""","""",s3,"""",,Hynek",1951,event,https://rr0.org/time/1/9/5/1/index.html
"A la base aérienne de Ladd, Fairbanks, P. Schumann (lieutenant DCA) et 12 observateurs voient et repèrent un(des?) ovni(s) au radar de télépointage. Les 12 déclarations sous serment sont égarées.","",sighting,1951$,,""""","""",s4,"""",,Hynek",1951,event,https://rr0.org/time/1/9/5/1/index.html
"Sortie du film Le jour où la Terre s'arrêta (The Day the Earth Stood Still), s'inspirant d'une série d'incidents êant les soucoupes volantes à la fin des années 1940s, mais renfermant également des images entièrement nouvelles. Par exemple, on peut y voir une pièce circulaire à l'intérieur d'une soucoupe volante, éclairée par une source invisible, avec une table d'examen utilisée par des médecins. La soucoupe elle-même est indestructible - caractéristique signalée dans des enquêtes ultérieure sur des épaves récupérées. Et le costume du personnage de Klaatu est presque identique à celui que porte l'extraterrestre que George Adamski a prétendu avoir rencontré 2 ans plus tard.","",sighting,1951$,,"",1951,event,https://rr0.org/time/1/9/5/1/index.html
"En France, le Bureau Scientifique de l'Armée de l'Air (BSAA) ouvre un dossier sur les ""Mystérieux Objects Célestes"" (MOC) qui deviendront ""Unidentified Flying Objects"" (UFO) puis ""Objets Volants Non Identifiés"" (OVNI)..","",sighting,1951$,,""""","""",s5,"""",,",1951,event,https://rr0.org/time/1/9/5/1/index.html
"Près de Key West, l'équipage et plusieurs officiers de marine dans une vedette motorisée voient un phénomène en forme de cigare au-dessus de l'eau. Un avion de chasse arrive et l'objet s'envole, disparaissant en quelques secondes. De retour au port, ils sont entourés d'hommes en costumes sombres qui les retiennent pendant des heures, les interrogeant d'une manière qui semblait plus viser è discréditer qu'autre chose.","",sighting,1951$,,"""""""Lettre anonyme dans un journal de Miami < Keel, J. A."""""","""",s6,"""",,The Cosmic Question",1951,event,https://rr0.org/time/1/9/5/1/index.html
"Univac 1 de Remington Rand Serveur Univac, construit par Remington Rand Inc. Doté de 5600 tubes électroniques et d'une capacité de stockage interne d'environ 10 Ko. Vitesse d'exécution des opérations arithmétiques : de 0,5 milliseconde (pour une addition) à 3,9 millisecondes (pour une division).","",sighting,1951$,,"",1951,event,https://rr0.org/time/1/9/5/1/index.html
"Grace Hopper commence le développement du compilateur A-O, également connu sous le nom de AT-3.","",sighting,1951$,,"",1951,event,https://rr0.org/time/1/9/5/1/index.html
