url,place,time,description,sources,id,place.name,place.org.name,place.org.surname,place.org.title,place.org.time,place.org.deprecated,place.org.note,place.org.place,place.org.description,place.org.sources,place.org.tags,place.org.image,place.org.id,place.org.dirName,place.org.url,place.org.events,place.org.type,place.org.places,place.org.kind,place.org.parent,place.place,place.org,place.place.name,place.place.surname,place.place.title,place.place.time,place.place.deprecated,place.place.note,place.place.place,place.place.description,place.place.sources,place.place.tags,place.place.image,place.place.id,place.place.dirName,place.place.url,place.place.events,place.place.type,place.place.locations,place.place.elevation,place.org.parent.name,place.org.parent.surname,place.org.parent.title,place.org.parent.time,place.org.parent.deprecated,place.org.parent.note,place.org.parent.place,place.org.parent.description,place.org.parent.sources,place.org.parent.tags,place.org.parent.image,place.org.parent.id,place.org.parent.dirName,place.org.parent.url,place.org.parent.events,place.org.parent.type,place.org.parent.places,place.org.parent.kind,place.org.parent.parent.name,place.org.parent.parent.surname,place.org.parent.parent.title,place.org.parent.parent.time,place.org.parent.parent.deprecated,place.org.parent.parent.note,place.org.parent.parent.place,place.org.parent.parent.description,place.org.parent.parent.sources,place.org.parent.parent.tags,place.org.parent.parent.image,place.org.parent.parent.id,place.org.parent.parent.dirName,place.org.parent.parent.url,place.org.parent.parent.events,place.org.parent.parent.type,place.org.parent.parent.places,place.org.parent.parent.kind,place.org.parent.parent.parent.name,place.org.parent.parent.parent.surname,place.org.parent.parent.parent.title,place.org.parent.parent.parent.time,place.org.parent.parent.parent.deprecated,place.org.parent.parent.parent.note,place.org.parent.parent.parent.place,place.org.parent.parent.parent.description,place.org.parent.parent.parent.sources,place.org.parent.parent.parent.tags,place.org.parent.parent.parent.image,place.org.parent.parent.parent.id,place.org.parent.parent.parent.dirName,place.org.parent.parent.parent.url,place.org.parent.parent.parent.events,place.org.parent.parent.parent.type,place.org.parent.parent.parent.places,place.org.parent.parent.parent.kind,place.org.parent.parent.parent.parent,place.org.parent.parent.parent,place.org.parent.parent
https://rr0.org/time/1/9/4/7/07/index.html#1947-07-01,,1947-07-01,le,"",1947-07-01
https://rr0.org/time/1/9/4/7/07/index.html#1947-07-02,,1947-07-02,le,"",1947-07-02
https://rr0.org/time/1/9/4/7/07/index.html#1947-07-03,,1947-07-03,le,"",1947-07-03
https://rr0.org/time/1/9/4/7/07/index.html#1947-07-04,,1947-07-04,le,"",1947-07-04
https://rr0.org/time/1/9/4/7/07/index.html#1947-07-06,,1947-07-06,le,"",1947-07-06
https://rr0.org/time/1/9/4/7/07/index.html#1947-07-07,,1947-07-07,le,"",1947-07-07
https://rr0.org/time/1/9/4/7/07/index.html#1947-07-08,,1947-07-08,le,"",1947-07-08
https://rr0.org/time/1/9/4/7/07/index.html#1947-07-09,,1947-07-09,le,"",1947-07-09
https://rr0.org/time/1/9/4/7/07/index.html#1947-07-10,,1947-07-10,le,"",1947-07-10
https://rr0.org/time/1/9/4/7/07/index.html#1947-07-12,Tulsa,,,,,,,,,,,,,,,,"",place,"",,1947-07-12,"le Lettre de Kenneth E. Arnold au commandant de Wright Field. Début du dossier officiel. A , Enlo Gilmore photographie 8 ""soucoupes volantes"".","""Memorandum for the officer in charge"",s1,""""""Brown, Frank M. (S/A CIC 4ème AF)"""""",Incident 4AF 1208 I,-16,""Spots or Saucers,s2,"""",""Camera Man Takes Picture of Sky Whizzers"""", Daily World de Tulsa"",-13",1947-07-12
https://rr0.org/time/1/9/4/7/07/index.html#1947-07-15,,1947-07-15,le William Ware Brazel est relâché par les militaires et rentre à sa ferme.,"",1947-07-15
https://rr0.org/time/1/9/4/7/07/index.html#1947-07-23,,1947-07-23,le,"",1947-07-23
https://rr0.org/time/1/9/4/7/07/index.html#1947-07-26,,1947-07-26,"le A bord du C-54 présidentiel Sacred Crow, Truman signe le National Security Act, fondant le NSC, la CIA (remplaçant le CIG) et l'USAF comme une entité indépendante du National Military Etablishment (qui deviendra le DoD en 1949).","",1947-07-26
https://rr0.org/time/1/9/4/7/07/index.html#1947-07-29T14:50,Hamilton Field (Californie),,,,,,,,,,,,,,,,"",place,"",,1947-07-29T14:50,"le , l'officier assistant des opérations de la base capitaine William Rhyerd et l'ancien pilote AAF de B-29 Ward Stewart observent 2 objets ronds et blanc brillants d'un diamètre entre 15 et 25 pieds, voler 3 à 4 fois à une vitesse comparable à un P-80 également visible. Un objet vole de manière droite et horizontale, l'autre virevolte à ses côtés tel une escorte.","Cas Blue Book n° 69 non expliqué,s3,"""",,",1947-07-29T14:50
https://rr0.org/time/1/9/4/7/07/index.html,,1947-07,"Joseph Staline convoque le physicien nucléaire Sergei Korolyev (père des missiles et du programme spatial soviétiques) ; il lui confie une série de rapports étrangers concernant les ovnis et où est incluse l'affaire du crash de Roswell. Korolyev, qui dispose d'une équipe de traducteurs et de 3 jours pour donner son opinion sur l'éventuelle menace que constituent les ovnis, assure le maître de l'URSS que les soucoupes ne sont pas des armes américaines ; bien que réel, le phénomène ne lui semble pas dangereux. Staline approuve cette conclusion que partagent tous les scientifiques qu'il a consultés.","",1947-07
