description,events,eventType,id,place,sources,time,type,url,place.dirName,place.elevation,place.events,place.id,place.locations,place.name,place.sources,place.type
"vers le ), plusieurs témoins observent dans le ciel dégagé 1 phénomène lumineux jaune-orangé se déplaçant à très grande vitesse et changeant de couleur au fur et à mesure qu'il change d'altitude. Le phénomène est été observé dans la direction d'un couloir aérien d'approche de l'aérodrome de Roissy, régulièrement emprunté par des avions d'est en ouest (La gendarmerie constate que lors de couchers de soleil des effets lumineux sur les avions ont déjà été remarqués à plusieurs reprises. Quelques semaines auparavant la presse locale faisait état, également, de l'observation d'un phénomène lumineux en forme de palet de hockey, toujours dans la direction de Roissy. Les témoins de l'observation du 2 mars ont probablement fait une observation d'un aéronef en approche sur cet aérodrome).","",sighting,1980~-03~-02~T21~:45$CoucyleChateauAisne,,,"",,"",Coucy-le Château (Aisne,"",place,"""GEPAN"","""",s1,"""",,PAN classé D",1980~-03~-02~T21~:45,event,https://rr0.org/time/1/9/8/0/03/index.html#1980~-03~-02~T21~:45
"le le lundi 3 20:30 à le lundi 3 20:45 A ), un couple circulant en voiture observe 1 boule orange de la taille du soleil couchant. Un peu plus tard, ils ne voient plus cette boule mais ils constatent la présence de la lune, plus blanche (Il est probable que les témoins ont été surpris par une apparence singulière de la lune en début de nuit, éclairée par le soleil couchant). le lundi 3 20:45 à le lundi 3 21:15 A Corte (Haute Corse), des témoins aperçoivent au-dessus des crètes 1 boule lumineuse de la forme d'une assiette. D'après les témoins, ce phénomène se situe entre 100 et 200 m du véhicule. Lors d'un arrêt de la voiture, les témoins n'entendent aucun bruit et ne sentent aucune odeur particulière. Sur une distance aproximative de 12 km ces personnes ont l'impression que l'objet les suit car il semble s'arrèter ou repartir en même temps que leur véhicule. L'objet a brusquement disparu et 1 autre phénomène lumineux rouge et conique cette fois apparaît. Dès leur arrivée chez eux, les témoins partent à la gendarmerie pour faire une déposition. (Selon le GEPAN, d'après la direction du trajet emprunté par les témoins entre Favello et Corté et si l'on tient compte de la route très sinueuse entre ces 2 endroits, il est probable que ces personnes aient fait une observation de Vénus. Particulièrement visible en cette période de l'année (magnitude -4,10) et très bas sur l'horizon, cet astre devait apparaître et disparaître en suivant la ligne de crêtes.). le lundi 3 22:15 A Saint Porchaire (Charente Maritime), une automobiliste et sa fille sont soudain être éblouies par 1 lumière rouge provenant d'une boule qui se déplace en razant l'horizon. Cette boule de la grosseur d'une ballon de foot se déplace sans bruit dans le sens sud-est nord-ouest. Son déplacement semble se faire par palliers et à grande vitesse. Ce phénomène est aperçu par d'autres personnes dont les gendarmes qui voient à en 22 un gros point lumineux rougeâtre, 5° au-dessus de l'horizon, et qui disparaît lentement à en 22 dans le nord-ouest. Ces gendarmes reviendront le lendemain sur les lieux et observeront aux jumelles 1 objet lumineux orangé produisant des éclats bleutés. Celui-ci disparaitra totalement à en 22 à l'horizon. (Il est à noter qu'à cette période de l'année, Vénus était particulièrement visible (magnitude -4,10) et très basse sur l'horizon (à -de 5° de l'horizon) et disparaît totalement vers 22:38. La vitesse et la descente par palliers indiquées par les témoins est une impression donnée par le fait que l'astre est très bas et très loin sur l'horizon. Selon le GEPAN les témoins ont probablement fait, ce soir là, une observation de Vénus.).","",sighting,1980-03-03$SaintVitDoubs,,,"",,"",Saint Vit (Doubs,"",place,"""GEPAN"","""",s2,"""",,PAN classé B,""GEPAN"","""",s3,"""",,PAN classé B,""GEPAN"","""",s4,"""",,PAN classé B",1980-03-03,event,https://rr0.org/time/1/9/8/0/03/index.html#1980-03-03
"le ), rentrant chez elle et descendant de sa voiture, un témoin de l'observation du en 3 observe 1 boule lumineuse constituée de différents cercles de plusieurs couleurs. Un éclair vient frapper le sol aux pieds de son enfant. La boule d'un diamètre estimé entre 20 et 25 cm se déplace d'ouest en nord-ouest pour disparaître totalement. Aucun bruit ne sera entendu et aucune décharge éléctrique ne sera ressentie ; par contre une baisse de tension sur la ligne EDF sera constaté par de nombreuses personnes dans leur habitations ou sur l'éclairage public : il est a noter d'ailleurs que 1 des témoins parle d'arc électrique aperçu entre une ligne électrique et le sol (Selon le GEPAN ces personnes ont probablement été témoins d'un phénomène électrique).","",sighting,1980-03-07T22:10$SaintPorchaireCharenteMaritime,,,"",,"",Saint Porchaire (Charente Maritime,"",place,"""GEPAN"","""",s5,"""",,PAN classé B",1980-03-07T22:10,event,https://rr0.org/time/1/9/8/0/03/index.html#1980-03-07T22:10
"le ), de nombreux témoins observent 1 phénoméne lumineux 5 fois plus grand et brillant qu'une étoile. Cette boule est plutôt de couleur rouge-orangée et est stationnaire dans le ciel. L'enquête montrera que les conditions étaient exceptionnellement favorables pour l'observation sous un aspect très particuliers certaines planètes comme Mars.","",sighting,1980-03-04T21:45$OttmarsheimHautRhin,,,"",,"",Ottmarsheim (Haut Rhin,"",place,"""GEPAN"","""",s6,"""",,PAN classé B",1980-03-04T21:45,event,https://rr0.org/time/1/9/8/0/03/index.html#1980-03-04T21:45
"le , à la fin de leur service, les gendarmes de la brigade reçoivent un appel de la brigade voisine leur signalant le témoignage d'un chauffeur de taxi qui a aperçu une lueur étrange sur la route qui va vers Authon. Ils se rendent rapidement sur les lieux mais ne constatent rien de particulier. De retour chez lui, 1 des gendarmes, avec son épouse, continue de surveiller le ciel et vers en 22, ils aperçoivent une lumière de taille plus grosse qu'une étoile, et qui a des mouvements totalement erratiques dans le ciel. Cette lumière est en forme de disque orangé. Le gendarme rappelle ses collègues et tous les 4 partent en voiture à la recherche du curieux phénomène. Après avoir suivi le phénomène et l'avoir perdu de vue plusieurs fois à cause du relief, ils finissent par descendre de voiture à un carrefour. Ils observent alors une grande forme rectangulaire aux coins arrondis avec des rampes lumineuses blanches qui éclairent le paysage environnant ainsi que la voiture. L'un des gendarmes ressent une sensation de chaleur ainsi qu'un fort sentiment de crainte qui l'empêcha de s'endormir tard dans la nuit. Les gendarmes rentrent chez eux vers 23:30 (Aucune explication n'a pu être trouvée à cette observation dont les caractéristiques de mouvements erratiques et très rapides se retrouvent également dans d'autres témoignages).","",sighting,1980-03-10$AuthonsurPercheSarthe,,,"",,"",Authon-sur-Perche (Sarthe),"",place,"""GEPAN"","""",s7,"""",,PAN classé D",1980-03-10,event,https://rr0.org/time/1/9/8/0/03/index.html#1980-03-10
"vers le , 3 témoins voient au-dessus des habitations 1 phénomène cylindrique immobile et très lumineux. Seul un léger sifflement sera constaté lors des déplacements du phénomène qui disparaîtra brusquement en direction du nord-est.","",sighting,1980~-03~-16~T01~:00$RoyanCharenteMaritime,,,"",,"",Royan (Charente Maritime),"",place,"""GEPAN"","""",s8,"""",,PAN classé D",1980~-03~-16~T01~:00,event,https://rr0.org/time/1/9/8/0/03/index.html#1980~-03~-16~T01~:00
"le ), 3 personnes observent 1 phénomène circulaire très lumineux qui se déplace lentement dans le sens sud-nord. Cette observation n'est pas confirmée par des gendarmes qui à plusieurs reprises regarderont le ciel dans cette direction.","",sighting,1980-03-17T20:40$AixenProvenceBouchesduRhones,,,"",,"",Aix-en-Provence (Bouches-du-Rhônes,"",place,"""GEPAN"","""",s9,"""",,PAN classé C",1980-03-17T20:40,event,https://rr0.org/time/1/9/8/0/03/index.html#1980-03-17T20:40
"le ), des personnes alertent la gendarmerie : ils observent des phénomènes lumineux inexpliqués évoluant à la base de la tour-relais de télévision hertzienne du ""Mont Caume"". Se rendant immédiatement sur les lieux et lors de vérifications menées les soirs suivants, il s'avère que les phénomènes lumineux viennent de projecteurs de signalisation nouvellement installés au pied de la tour. De plus les gendarmes constateront que d'autres effets lumineux aperçus depuis cet endroit ne sont en fait que les éclairages publics de villages environnants et les phares de véhicules qui se déplacent. Ces signalisations lumineuses sont à cette époque noyées et pertubées régulièrement par de la brume et des conditions climatiques défavorables.","",sighting,1980-03-23T22:20$SaintRemyDeProvenceBouchesduRhones,,,"",,"",Saint Rémy de Provence (Bouches-du-Rhônes,"",place,"""GEPAN"","""",s10,"""",,PAN classé A",1980-03-23T22:20,event,https://rr0.org/time/1/9/8/0/03/index.html#1980-03-23T22:20
"le à partir de 21:50 A ), plusieurs militaires observent durant 1 h une boule plus grosse qu'une étoile et de couleur jaunâtre émet des rayons lumineux importants. Elle est observée en direction de l'ouest avec une position un peu au-dessus de l'horizon sans précision angulaire précise (L'examen de la carte du ciel montre à cette heure Vénus en direction de l'ouest à 11° environ au dessus de l'horizon et qui présente une magnitude importante de -4,22. Sirius est également très visible avec une magnitude de -1,45 mais les témoins ont probablement été abusés par l'observation de Vénus).","",sighting,1980-03-24$FontevraudLAbbayeMaineetLoire,,,"",,"",Fontevraud l'Abbaye (Maine-et-Loire,"",place,"""GEPAN"","""",s11,"""",,PAN classé B",1980-03-24,event,https://rr0.org/time/1/9/8/0/03/index.html#1980-03-24
le Création du consortium européen Arianespace.,"",sighting,1980-03-26$,,"",1980-03-26,event,https://rr0.org/time/1/9/8/0/03/index.html#1980-03-26
