description,events,eventType,id,place,sources,time,type,url,place.dirName,place.elevation,place.events,place.id,place.locations,place.name,place.org._parent,place.org.events,place.org.id,place.org.kind,place.org.places,place.org.type,place.org._parent._parent._parent._parent,place.org._parent._parent._parent.events,place.org._parent._parent._parent.id,place.org._parent._parent._parent.kind,place.org._parent._parent._parent.places,place.org._parent._parent._parent.type,place.org._parent._parent.events,place.org._parent._parent.id,place.org._parent._parent.kind,place.org._parent._parent.places,place.org._parent._parent.type,place.org._parent.events,place.org._parent.id,place.org._parent.kind,place.org._parent.places,place.org._parent.type,place.org._parent._parent._parent,place.org._parent._parent
"le , des opérateurs radar au sol repèrent pendant 1 heure au radar plusieurs groupes de petits objets (jusqu'à 10) et 1 grand objet. Les petits se déplacent du Sud-Ouest vers l'Est entre 50 et 60 noeuds (97 km/h à 113 km/h), se suivant les uns les autres. Le grand objet se déplace à 600 noeuds (1127 km/h). Un pilote de F-51 Mustang confirme la détection d'un des objets.","",sighting,1952-07-29T01:30$Osceola (Wisconsin),,,"",,"",Osceola (Wisconsin),""""","""",s1,"""",,1731,",1952-07-29T01:30,event,https://rr0.org/time/1/9/5/2/07/29/index.html#1952-07-29T01:30
"le dans le canyon de Los Alamos (Nouveau-Mexique), observation par 5 témoins indépendants durant 5 minutes d'un objet blanc tournant. L'objet part à l'arrivée d'avions.","",sighting,1952-07-29T10:00$Oméga,,,"",,"",Oméga,""""","""",s2,"""",,1979,",1952-07-29T10:00,event,https://rr0.org/time/1/9/5/2/07/29/index.html#1952-07-29T10:00
Sidney Eubank se rend au poste de police d' où il raconte au sergent Vern Bennel qu'un disque énorme a survolé de près son automobile alors qu'elle roulait sur l'autoroute 81 entre Bison et Waukonis. La violence du déplacement d'air a fait quitter la route à la voiture tandis que l'objet volait vers l'ouest à toute allure.,"",sighting,1952-07-29$Enid (Oklahoma),,,"",,"",Enid (Oklahoma),""""","""",s3,"""",J.,134,Vallée",1952-07-29,event,https://rr0.org/time/1/9/5/2/07/29/index.html
"le A la base de l'USAF de , le capitaine D. G. Moore, du système de contrôle de traffic aérien, détecte durant 2 minutes un objet volant filant vers la base à à environ 4184 km/h à une altitude inférieure à 1524 m.","",sighting,1952-07-29T14:30$Langley (Virginie),,,"",,"",Langley (Virginie),""""","""",s4,"""",,1732?,",1952-07-29T14:30,event,https://rr0.org/time/1/9/5/2/07/29/index.html#1952-07-29T14:30
"le Moore et W. Yhope, représentant de l'électronique Gilfillan, repèrent durant 4 minutes une cible radar se déplaçant, s'arrêtant 2 minutes, puis repartant très très rapidement.","",sighting,1952-07-29T14:50$,,""""","""",s5,"""",,1732?,",1952-07-29T14:50,event,https://rr0.org/time/1/9/5/2/07/29/index.html#1952-07-29T14:50
"L'International News Service annonce que l'Air Force a révélé aujourd'hui que des pilotes de jet ont été placé en alerte nationale de 24 h contre les ""soucoupes volantes"" avec ordre de les descendre si elles refusent d'atterrir. Robert Farnsworth, président de la U.S. Rocket Society, écrit une lettre à la Maison Blanche pour protester du fait qu'une action hostile contre les ovnis, pourrait causer d'incroyables souffrances et morts.","",sighting,1952-07-29$,,"""""""Cox, Billy"""""","""",s6,"""",Herald Tribune,18,""U.S. skies were as deadly as Korea""",1952-07-29,event,https://rr0.org/time/1/9/5/2/07/29/index.html
"Des officiers du FBI rapportent les propos tenus par des représentants de l'USAF lors d'une réunion qu'ils eurent avec eux. Ces derniers expliquent aux policiers que, selon leur centre de renseignement de Wright Patterson, les observations de soucoupes volantes remontent à plusieurs siècles et leur nombre varie en fonction de la publicité qui en est faite. Les militaires ajoutent que ces soucoupes apparaissent plutôt dans les zones de fort trafic aérien. Selon eux, il ne s'agit pas de missiles venus d'autres pays, et n'excluent pas que ces objets soient d'éventuels vaisseaux d'autres planètes comme Mars.","",sighting,1952-07-29$,,"",1952-07-29,event,https://rr0.org/time/1/9/5/2/07/29/index.html
"A Miami (Floride), un ovni très rapide est filmé. Le film est soumis à l'USAF, jamais diffusé.","",sighting,1952-07-29$,,"",1952-07-29,event,https://rr0.org/time/1/9/5/2/07/29/index.html
"le ou le 16:35, Herbert Mitchell et un employé observent durant 2 minutes un objet sombre en forme de disque, suivit d'une lumière argentée à 2 longueurs derrière lui, s'incliner sur le côté, plonger, hésiter puis finalement effectuer des cercles très rapidement.","",sighting,1952-07-29T15:44$Merced (Californie),,,"",,"",Merced (Californie),""""","""",s7,"""",,1738,",1952-07-29T15:44,event,https://rr0.org/time/1/9/5/2/07/29/index.html#1952-07-29T15:44
"Photo prise à Passiac Photo prise à Passiac le , George J. Stock possède un magasin de réparation de tondeuse à gazon. Alors qu'il est en train de travailler sur l'une d'elles dans son jardin, il voit tout d'un coup une soucoupe volante alors qu'il regarde en l'air. Il appelle alors son père dans la maison : Apporte mon appareil photo ! Apporte mon appareil photo ! et son père sort avec son appareil photo reflex économique. George le saisit et se dépêche, avançant et reculant pour avoir l'ovni dans son viseur et prend des clichés aussi vite qu'il le peut. L'objet arrive directement au-dessus de sa maison depuis la tour IT&T, un batiment tubulaire proche. Il est à 6 m ou 8 m du sol environ. Il ralentit, reste en survol un moment, puis accélère et vole au loin par-dessus de le jardin. L'observation n'a duré que 1 minute ou 2 minutes. Stock a eu le temps de prendre 7 photos.","",sighting,1952-07-29T16:30$Passiac (New Jersey),,,"",,"",Passiac (New Jersey),"",1952-07-29T16:30,event,https://rr0.org/time/1/9/5/2/07/29/index.html#1952-07-29T16:30
"le , des membres du personnel de l'USAF sont alertés de l'arrivée d'ovnis depuis Seattle (Washington). Ils s'agit de 5 objets plats en forme de disque. L'un d'eux reste stationnaire en 4, tandis qu'un autre tourne autour de lui. L'observation dure 30 minutes.","",sighting,1952-07-29T00:30$Ennis (Montana),,,"",,"",Ennis (Montana),""""","""",s8,"""",,1747,",1952-07-29T00:30,event,https://rr0.org/time/1/9/5/2/07/29/index.html#1952-07-29T00:30
"le , Douglas et Hess, employé d'un magasin de l'USAF à l'Aéroport Municipal, observent durant 5 minutes un objet circulaire blanc brillant à l'arrière plat voler très rapidement, puis stationner en 15 au-dessus des installations de Cessna Aircraft Co.","",sighting,1952-07-29T00:35$Wichita (Kansas),,,"",,"",Wichita (Kansas),""""","""",s9,"""",,1739,",1952-07-29T00:35,event,https://rr0.org/time/1/9/5/2/07/29/index.html#1952-07-29T00:35
