description,events,eventType,id,place,place.dirName,place.elevation,place.events,place.id,place.locations,place.name,place.sources,place.type,sources,time,type,url
"Première détection directe du signal à 21 cm de l'hydrogène neutre par cartographie d'intensité (intensity mapping), à partir des seules données radio du réseau MeerKAT (Afrique du Sud) et sans recours à un relevé optique de galaxies pour extraire le signal. L'équipe, menée par Sourabh Paul avec Zhaoting Chen, Mario Santos et Laura Wolz, entre l'université du Western Cape et l'université de Manchester (Royaume-Uni), exploite environ 96 heures d'observations du champ DEEP2 acquises dès 2018 à des fins de validation technique de l'instrument, avant même le début de ses opérations scientifiques. Le signal est mesuré à deux époques cosmiques, aux décalages spectraux z ≈ 0,32 et z ≈ 0,44, soit une lumière ayant voyagé quatre à cinq milliards d'années. La technique mesure l'émission combinée d'un grand nombre de galaxies non résolues plutôt que chacune individuellement, ce qui permet de cartographier de très grands volumes d'Univers et, à terme, de contraindre matière sombre et énergie sombre. La difficulté principale demeure la maîtrise des contaminations — avant-plans galactiques, interférences radio d'origine humaine, effets instrumentaux —, dont la séparation conditionne la fiabilité de ce type de mesure. MeerKAT est un précurseur du futur SKA-Mid, pour lequel la cartographie d'intensité doit devenir un axe scientifique majeur.","",sighting,2026-09-01$,,""""","""",s1,"""",,Radware Bot Manager Captcha,"""","""",s2,"""",,Astronomers directly detect faint cosmic hydrogen signal using the MeerKAT telescope - South African Radio Astronomy Observatory - NRF-SARAO",2026-09-01,event,https://rr0.org/time/2/0/2/6/09/index.html#2026-09-01
"La collaboration LZ, qui exploite un détecteur au xénon liquide installé à près de 1 500 m sous terre au SURF (Dakota du Sud), annonce à la conférence TeVPA de Tendō (Japon) l'observation d'un événement d'interaction unique que les modèles de bruit de fond connus n'expliquent pas. L'événement se situe dans la région de l'espace des paramètres où l'on attendrait la signature d'un WIMP, candidat historique à la matière sombre. Sa signification statistique n'est que de 2,6 σ, soit environ 0,5 % de probabilité qu'il provienne d'une source connue : c'est très loin du seuil de 5 σ requis en physique des particules pour revendiquer une découverte. La collaboration, qui associe notamment le LBNL, Brown University et Northwestern University, se garde donc de parler de détection et présente le résultat comme l'indice le plus intéressant obtenu à ce jour par l'expérience. Une fluctuation statistique ou un bruit de fond mal modélisé restent des explications parfaitement plausibles : seule l'accumulation de données supplémentaires, prévue dans les prochaines années d'exposition, permettra de trancher.","",sighting,2026-09-01$,,""""","""",s3,"""",,LZ Sees Surprising Result in Search for Dark Matter - Berkeley Lab – Berkeley Lab News Center,"""","""",s4,"""",,Client Challenge",2026-09-01,event,https://rr0.org/time/2/0/2/6/09/index.html#2026-09-01
"La Huntington Library, institution de recherche de San Marino (Californie) réputée pour ses livres rares et ses manuscrits, annonce l'acquisition d'un fonds d'archives consacré à l'Integratron et à son constructeur George Van Tassel. Le fonds réunit plus de 250 enregistrements sonores, près de 630 photographies, négatifs et diapositives, des films en 8 mm, des livres, des périodiques et divers documents s'échelonnant des années 1910 aux années 1990, ainsi qu'une maquette architecturale et les plans d'origine du dôme. Il provient des collectionneurs Donald McKinney et Dayle McKinney, qui le conservaient en atmosphère contrôlée. On y trouve notamment des enregistrements des séances de channeling de Van Tassel et des pièces liées à l'enquête ouverte sur lui par le FBI après une plainte de mai 1954. Erin Chase, conservatrice associée pour l'architecture et la photographie, précise que la collection est déjà cataloguée et consultable en salle de lecture. Il s'agit de la première acquisition majeure de la Huntington dans le domaine de l'ufologie, dans un mouvement de patrimonialisation universitaire comparable aux Archives of the Impossible constituées à Rice University autour, entre autres, des papiers de Jacques Vallée.","",sighting,2026-09-01$,,"""https"","""",s5,"""",,//www.huntington.org/watch-read-listen/news/huntington-acquires-archive-integratron-and-ufo-movement,"""","""",s6,"""",,The Huntington acquires vast Integratron archive - Los Angeles Times",2026-09-01,event,https://rr0.org/time/2/0/2/6/09/index.html#2026-09-01
"Le déclin de la formation stellaire ne s'explique pas par une pénurie de carburant. Une étude parue dans Nature Astronomy combine les observations radio du radiotélescope chinois FAST et les décalages spectraux du relevé DESI pour mesurer la densité cosmique d'hydrogène atomique neutre sur les 4,5 derniers milliards d'années. La méthode repose sur l'empilement spectral des signaux, individuellement indétectables, d'environ 2,5 millions de galaxies couvrant près d'un tiers du ciel. Le résultat est contre-intuitif : alors que le taux de formation d'étoiles était environ 2,5 fois plus élevé il y a 4,5 milliards d'années, la densité d'hydrogène atomique n'était, elle, que 1,4 fois supérieure à sa valeur actuelle. L'Univers n'a donc pas épuisé son réservoir de gaz : c'est l'efficacité de conversion du gaz atomique en gaz moléculaire, puis en étoiles, qui a chuté. L'explication du déclin se déplace ainsi d'une pénurie de matière première vers un problème de régulation et d'accrétion du gaz au sein des galaxies, dont les mécanismes précis — rétroaction des noyaux actifs, chauffage du gaz, ralentissement de l'accrétion — restent à déterminer.","",sighting,2026-09-01$,,""""","""",s7,"""",,Client Challenge,""""""The universe has plenty of hydrogen. So why is star formation collapsing? | ScienceDaily, vendredi 18 septembre 2026 à 12"""""","""",s8,"""",,",2026-09-01,event,https://rr0.org/time/2/0/2/6/09/index.html#2026-09-01
"Première mesure directe de la phase quantique accumulée par un objet en chute libre. L'expérience, menée à l'université Ben-Gourion du Néguev (Israël) avec l'université d'Ulm et l'Institut des technologies quantiques du DLR (Allemagne), l'université d'Oxford, l'université de Southampton (Royaume-Uni) et Texas A&M, porte sur des atomes de rubidium ultrafroids manipulés au voisinage d'une puce atomique. Des impulsions micro-ondes placent chaque atome en superposition, puis des champs magnétiques produits par des microfils maintiennent une composante de l'onde immobile pendant que l'autre suit une trajectoire balistique, avant recombinaison et lecture de l'interférence. La phase relative mesurée correspond à celle que prédit le principe d'équivalence d'Albert Einstein appliqué à un objet quantique. Roger Penrose figure parmi les cosignataires. Les auteurs soulignent que le résultat n'unifie ni ne quantifie la gravitation : il établit seulement la compatibilité du principe d'équivalence avec la mécanique quantique dans le régime testé. L'expérience n'atteint ni les masses ni les durées nécessaires pour éprouver l'hypothèse de Penrose d'un effondrement gravitationnel de la fonction d'onde ; une version employant des nanodiamants est en préparation dans le même groupe.","",sighting,2026-09-02$,,"""https"","""",s9,"""",,//doi.org/10.1126/sciadv.aec8045,"""","""",s10,"""",,Scientists observe Einstein’s gravity in the quantum world | EurekAlert!",2026-09-02,event,https://rr0.org/time/2/0/2/6/09/index.html#2026-09-02
"Réfutation du projet de laser à neutrinos. Deux articles de Wolfgang Ketterle et de son équipe au MIT, publiés simultanément dans Physical Review Letters et commentés dans Physics par Ana Maria Rey, James Thompson et Haoqing Zhang (JILA, NIST, université du Colorado), montrent qu'une proposition de l'année d'avant est irréalisable par principe. Celle-ci envisageait un condensat de Bose-Einstein d'environ un million d'atomes de rubidium 83 se désintégrant par capture électronique en krypton 83, dont l'émission de neutrinos deviendrait superradiante et réduirait la demi-vie de 86 jours à environ 2,5 minutes. Trois obstacles de nature quantique, et non technique, sont identifiés : le krypton 83 produit étant un fermion, le principe d'exclusion de Wolfgang Pauli bloque la chaîne d'émissions collectives après la première désintégration ; la longueur d'onde picométrique des neutrinos relativistes rend la coopérativité de l'ordre de 10⁻¹², très en deçà du seuil de superradiance ; enfin le recul de quelques milliers de mètres par seconde des atomes de krypton détruit la cohérence en moins d'une microseconde. Le résultat est théorique, mais sa portée dépasse le cas du neutrino en explicitant les conditions générales de l'émission quantique collective.","",sighting,2026-09-02$,,""""","""",s11,"""",,Fundamental Impossibility of a Superradiant Neutrino Laser | Phys. Rev. Lett.,""Physics - To Lase or Not to Lase"","""",s12,"""",,The Question of Neutrino Superradiance",2026-09-02,event,https://rr0.org/time/2/0/2/6/09/index.html#2026-09-02
"Un avis de marché du ministère de la Défense révèle que l'AARO entend passer un contrat de gré à gré avec le NUFOHRC, organisation à but non lucratif du Nouveau-Mexique fondée et dirigée par l'historien David Marler. Il s'agit d'un abonnement commercial donnant à l'AARO un accès numérique aux données, métadonnées et produits d'analyse propriétaires du centre, avec priorité explicite aux documents antérieurs à 1990, sur une période de base d'un an assortie de quatre reconductions annuelles. L'administration justifie l'absence de mise en concurrence en affirmant qu'aucune autre organisation ne dispose de la profondeur historique, du volume de documents uniques et de l'expertise analytique requis : le NUFOHRC a en effet recueilli les archives complètes de l'APRO ainsi que des dossiers personnels de Joseph Allen Hynek, consultant de l'Air Force pour le projet Blue Book. La démarche s'inscrit dans l'obligation faite à l'AARO par le NDAA pour l'exercice 2023 d'établir un rapport historique complet sur l'implication du gouvernement fédéral dans le sujet des PANs depuis 1945. Le coût total estimé n'est pas divulgué. L'opération est notable en ce qu'elle inverse le sens habituel du transfert d'expertise, de l'ufologie civile vers l'agence gouvernementale.","",sighting,2026-09-02$,,"""""""Sam Acquisition 360, mercredi 16 septembre 2026 à 20"""""","""",s13,"""",,,"""","""",s14,"""",,Pentagon seeks access to vast private UFO records collection | DefenseScoop",2026-09-02,event,https://rr0.org/time/2/0/2/6/09/index.html#2026-09-02
"Des images du télescope spatial Hubble révèlent une onde atmosphérique géante à dix côtés encerclant le pôle sud de Saturne, premier motif de jet régulier et de grande taille observé dans l'hémisphère sud de la planète. L'étude, parue dans Science Advances et dirigée par Agustín Sánchez-Lavega (université du Pays basque) avec Amy Simon (NASA Goddard, responsable du programme OPAL) et Michael Wong (université de Californie à Berkeley), reconstitue son apparition : des signes ténus étaient présents dès 2023, la formation s'est précisée dans des images au sol de 2024 repérées avec les astronomes amateurs Trevor Barry et Jean-Paul Oger, puis s'est confirmée en l'année d'avant. Le décagone se distingue de l'hexagone du pôle nord, stable depuis plus de quarante ans : il semble s'être formé récemment et continuer de se renforcer. Les observations à différentes longueurs d'onde montrent qu'il ne s'agit pas d'un simple motif au sommet des nuages mais d'une structure verticalement étendue sur plusieurs couches atmosphériques. Ni les images de Cassini (2004 à 2017) ni les archives Hubble antérieures à 2023 n'en portent trace, ce qui laisse son déclenchement inexpliqué ; des observations complémentaires et de la modélisation numérique seront nécessaires pour en comprendre l'origine et la durée de vie.","",sighting,2026-09-03$,,"""https"","""",s15,"""",,//doi.org/10.1126/sciadv.aee4251,""""""NASA scientists discover a giant 10-sided pattern on Saturn | ScienceDaily, vendredi 18 septembre 2026 à 12"""""","""",s16,"""",,",2026-09-03,event,https://rr0.org/time/2/0/2/6/09/index.html#2026-09-03
"Premiers indices d'exocomètes autour d'une jeune étoile de type solaire. Une équipe de l'université de Lund (Suède) menée par Aline Novais, avec Alexandra Stockwell Murphy et Jens Hoeijmakers, rapporte dans Nature Communications des indices d'exocomètes en cours de sublimation dans le système PDS 70, âgé d'un peu plus de cinq millions d'années et situé à environ 370 années-lumière. En réanalysant 18 époques d'observations du spectrographe HARPS acquises du jeudi 29 mars 2018 au dimanche 13 mai 2018, l'équipe a identifié des raies d'absorption variables du sodium se déplaçant à plusieurs kilomètres par seconde, apparaissant et disparaissant sur quelques nuits — comportement attendu lorsque des comètes passent devant l'étoile et libèrent du gaz par sublimation de leur glace. Ce serait la première mise en évidence d'exocomètes autour d'une étoile relativement froide, comparable au Soleil, et dans le système le plus jeune où une telle activité ait été proposée. Des simulations d'orbites montrent que les deux géantes gazeuses PDS 70 b et c peuvent projeter vers l'intérieur des corps glacés formés dans le disque externe, fournissant un mécanisme de transport d'eau et de composés volatils vers la zone de formation planétaire, où de la vapeur d'eau avait été détectée en 2023. Le rapprochement avec l'origine de l'eau terrestre et de la vie reste analogique et non démontré ; les auteurs eux-mêmes ne présentent ces exocomètes que comme potentielles, et l'interprétation cométaire des variations de sodium demande confirmation. Paru le jeudi 24.","",sighting,2026-09-03$,,""""","""",s17,"""",,Client Challenge,""""""Comets May Have Transported Water To A Young Planetary System - Astrobiology, dimanche 20 septembre 2026 à 11"""""","""",s18,"""",,",2026-09-03,event,https://rr0.org/time/2/0/2/6/09/index.html#2026-09-03
"Une atmosphère est inférée sur HD 3167 b, le plus froid des mondes de lave pour lesquels un tel indice ait été obtenu. L'équipe de Brandon Park Coy (université de Chicago), avec Edwin Kite, rapporte des indices d'atmosphère sur cette super-Terre rocheuse à période ultra-courte — environ un jour — située à 154 années-lumière dans la constellation des Poissons. La mesure repose sur la méthode de l'éclipse secondaire avec le JWST : le flux infrarouge moyen de la face éclairée est nettement inférieur à la température maximale théorique attendue pour une surface nue, ce qui implique une redistribution de chaleur ou des nuages réfléchissants, donc une atmosphère. L'enjeu dépasse cet objet : le programme dont il est le premier résultat, mené par Megan Weiner Mansfield (université du Maryland), porte sur dix mondes de lave et cherche la température critique au-delà de laquelle ces planètes conservent une enveloppe gazeuse — question centrale pour savoir lesquelles peuvent retenir une atmosphère, condition préalable à toute eau liquide de surface et donc à la vie. La composition de cette atmosphère n'est pas contrainte — roche vaporisée, dioxyde de carbone, monoxyde de carbone ou eau restent envisageables — et la méthode demeure indirecte, inférant une atmosphère depuis une température sans identification spectrale d'aucun gaz. Paru le jeudi 9 juillet dans The Astrophysical Journal Letters.","",sighting,2026-09-03$,,""""","""",s19,"""",,Radware Bot Manager Captcha,""""""Atmosphere Detected On The Coldest Lava World To Date - Astrobiology, dimanche 20 septembre 2026 à 11"""""","""",s20,"""",,",2026-09-03,event,https://rr0.org/time/2/0/2/6/09/index.html#2026-09-03
"L'université de Brighton (Royaume-Uni) accueille un colloque d'une journée intitulé Camera Miracula: An Uncomfortable History, organisé par Shannon Taggart et Annebella Pollen avec le soutien du Centre for Design History, de la School of Humanities and Social Science et de l'Eidolon Centre de cette université. Le programme porte sur l'histoire des tentatives de photographier l'invisible : photographies d'ovnis, d'ectoplasmes et de médiums, photographies de pensée, apparitions mariales, psychokinèse et constitution d'archives du paranormal. Aux deux organisatrices s'ajoutent comme intervenants Emily Hauver, Mark Pilkington et Beth Saunders ; Taggart a donné la veille une conférence d'artiste sur la photographie spirite. L'argumentaire soutient que la photographie n'a jamais seulement enregistré le réel mais a aussi fonctionné comme une technologie rituelle destinée à donner forme visible à des réalités tenues pour invisibles. L'événement est significatif moins par un résultat scientifique nouveau que par l'accueil, dans une université britannique, d'un examen historiographique critique des corpus photographiques de la métapsychique et de l'ufologie, domaines longtemps tenus à l'écart des départements d'histoire.","",sighting,2026-09-03$,,"""""""Events | Shannon Taggart on Spirit Photography and Camera Miracula symposium | Centre for Design History, dimanche 20 septembre 2026 à 11"""""","""",s21,"""",,",2026-09-03,event,https://rr0.org/time/2/0/2/6/09/index.html#2026-09-03
"Le représentant Eric Burlison annonce que l'enregistrement sonore de l'exposé donné le mercredi 26 mars 1952 à Boston par Edward J. Ruppelt, alors directeur du projet Blue Book, devant le Beacon Hill Group a été retrouvé et sera diffusé dans une prochaine mise à jour du portail PURSUE. Le Beacon Hill Group réunissait des consultants de l'Air Force en électronique, optique, acoustique et collation de données. Le compte rendu officiel de la réunion figure au rapport de statut n° 5 du projet, daté du mars 1952 : il en ressort que les experts avaient recommandé le recours à des détecteurs acoustiques automatiques en zone de concentration d'observations, constaté que les grands observatoires astronomiques n'avaient qu'une faible chance de détecter fortuitement un tel objet — argument alors opposé à ceux qui déduisaient du silence des observatoires l'inexistence du phénomène —, et suggéré de dépouiller les archives de presse anciennes pour établir si le phénomène était réellement nouveau. L'intérêt de la pièce annoncée tient à ce qu'elle livrerait la parole même du responsable du projet Blue Book à l'époque de son activité, et non son témoignage rétrospectif de 1956.","",sighting,2026-09-04$,,""""","""",s22,"""",,,""File"","""",s23,"""",,Project Blue Book",2026-09-04,event,https://rr0.org/time/2/0/2/6/09/index.html#2026-09-04
"La cavité résonante formée entre la surface de la Terre et l'ionosphère est utilisée comme détecteur planétaire de matière sombre ultralégère. Des chercheurs des universités de Kyoto, d'Hiroshima et Nihon (Japon), autour d'Atsushi Taruya, développent un cadre théorique qui intègre la conductivité électrique de l'atmosphère et étend ainsi les prédictions au-delà de 1 Hz — limite des modèles antérieurs — jusqu'à environ 30 Hz, avec une amplification attendue vers 8 Hz. L'analyse porte sur une dizaine d'années de mesures géomagnétiques (2012 à 2022) de l'observatoire d'Eskdalemuir du BGS, après soustraction des sources de bruit artificielles. Les contraintes obtenues sur le couplage axion-photon sont environ cent fois plus serrées que la meilleure limite antérieure d'une expérience au sol, et comparables aux contraintes astrophysiques déduites des observations en rayons X de Chandra et NuSTAR, lesquelles reposent toutefois sur des hypothèses théoriques. La recherche de photons noirs fait apparaître plusieurs candidats de signal dont l'origine reste inexpliquée et qui ne sont nullement établis comme signatures de matière sombre. Le modèle prédit par ailleurs une signature discriminante : un signal d'axion dépendrait de la localisation — maximum attendu en Asie du Sud-Est —, contrairement à celui d'un photon noir, dont la recherche dans les mêmes données avait fait l'objet d'un article distinct paru le lundi 11 mai dans Physical Review D.","",sighting,2026-09-05$,,"""Signature of Axion Dark Matter in Low-Frequency Terrestrial Electromagnetic Fields"","""",s24,"""",,Formulation and Predictions,"""","""",s25,"""",,Axion Dark Matter Search from Terrestrial Magnetic Fields at Extremely Low Frequencies,"""","""",s26,"""",,Searching for dark photon dark matter from terrestrial magnetic fields,""""""A mysterious signal around Earth could be dark matter | ScienceDaily, vendredi 18 septembre 2026 à 12"""""","""",s27,"""",,",2026-09-05,event,https://rr0.org/time/2/0/2/6/09/index.html#2026-09-05
"Un astéroïde d'environ 80 cm se désintègre dans l'atmosphère au-dessus de l'océan Indien, au large du nord-ouest de l'Australie. Repéré six heures plus tôt seulement par le télescope du Mount Lemmon Survey (Arizona), dans le cadre du Catalina Sky Survey, l'objet est d'abord catalogué CERNQ52 puis désigné 2026 RW1. Il s'agit du treizième astéroïde de l'histoire détecté dans l'espace avant son impact avec la Terre. Adrien Coffinet, de la Minor Planet Mailing List, relève qu'il serait en outre le premier de type Aton — demi-grand axe inférieur à l'UA, donc orbite intérieure à celle de la Terre — à être ainsi détecté : tous les impacteurs précédemment repérés en amont appartenaient à la classe Apollon. Aucune observation visuelle du bolide n'a été confirmée, la zone étant déserte. L'événement n'a d'intérêt ni par la taille de l'objet, sans danger, ni par ses effets, nuls : il mesure la progression des relevés de surveillance, désormais capables de détecter des corps de l'ordre du mètre avant leur arrivée.","",sighting,2026-09-06T16:07$,,"""""""Small asteroid hit Earth’s atmosphere Sunday near Australia, samedi 19 septembre 2026 à 17"""""","""",s28,"""",,,""https"","""",s29,"""",,//groups.io/g/mpml/message/41990",2026-09-06T16:07,event,https://rr0.org/time/2/0/2/6/09/index.html#2026-09-06T16:07
"Le NUFORC annonce avoir enregistré au cours du mois d'août son 200 000ᵉ signalement d'ovni depuis sa fondation en 1974 par Robert J. Gribble. Le centre, installé à , est passé d'un unique classeur de comptes rendus manuscrits à une base consultable en ligne couvrant l'ensemble des États américains et la majorité des pays du monde. Il revendique par ailleurs près de 2 000 cas classés Tier 1 — retenus pour leur niveau de détail et la crédibilité du témoin — sur les quatre dernières années. L'organisation en tire la conclusion que des intelligences non humaines se manifestent régulièrement sur Terre, inférence que la seule accumulation de témoignages non corroborés par des données instrumentales ne permet pas d'établir. Le chiffre reste notable comme mesure de la plus longue série de collecte civile continue du domaine.","",sighting,2026-09-07$DavenportWashington,,,"",,"",Davenport (Washington),"",place,"""https"","""",s30,"""",,//nuforc.org/nuforc-logs-its-200000th-ufo-report/",2026-09-07,event,https://rr0.org/time/2/0/2/6/09/index.html#2026-09-07
"Premier cadre quantitatif pour la recherche de technosignatures microscopiques dans le régolithe lunaire. L'étude, menée par Lewis Pinault (institut SETI) avec Brian C. Lacki et Andrew Siemion (Breakthrough Listen) et Ian Crawford (Birkbeck, université de Londres), reprend une proposition formulée dans les années 1990 par l'astronome ukrainien Oleksiy Arkhipov : dépourvue d'atmosphère, d'eau courante et de géologie active, la surface de la Lune accumule depuis quatre milliards d'années les poussières du Système solaire et du milieu interstellaire, et en conserve intactes des particules souvent plus anciennes qu'elle. Les auteurs modélisent le transport interstellaire de telles particules, leur survie, leur incorporation au régolithe et leur détection par microscopie, tomographie, spectroscopie et analyse d'images assistée par intelligence artificielle. Ils estiment qu'un mètre cube de régolithe suffirait à poser les premières contraintes chiffrées sur la quantité de débris artificiels durables produite au cours de l'histoire de la Galaxie, et par là sur le nombre de civilisations techniques qui y ont existé. L'étude ne rapporte aucune détection : son apport est de rendre l'hypothèse testable, un résultat négatif fournissant lui-même une contrainte. Les échantillons attendus des programmes Artemis de la NASA et Chang'e de la CNSA en constitueraient le matériau. Prépublication soumise à l'International Journal of Astrobiology.","",sighting,2026-09-08$,,"""[2606.24028] Micron-Scale Technosignatures"","""",s31,"""",,How a Cubic Metre of Lunar Regolith May Begin to Constrain the Number of Past Technological Civilisations in the Galaxy,"""","""",s32,"""",,Researchers Propose Searching the Moon for Microscopic Technosignatures",2026-09-08,event,https://rr0.org/time/2/0/2/6/09/index.html#2026-09-08
