type,events,url,place,time,description,sources,id,place.name,place.org,place.place.id,place.place.events,place.place.locations,place.place.elevation,place.place.dirName,place.org.type,place.org.dirName,place.org.events,place.org.id,place.org.places,place.org.kind,place.org.parent.type,place.org.parent.dirName,place.org.parent.events,place.org.parent.id,place.org.parent.places,place.org.parent.kind,place.org.parent.parent.type,place.org.parent.parent.dirName,place.org.parent.parent.events,place.org.parent.parent.id,place.org.parent.parent.places,place.org.parent.parent.kind,place.org.parent.parent.parent.type,place.org.parent.parent.parent.dirName,place.org.parent.parent.parent.events,place.org.parent.parent.parent.id,place.org.parent.parent.parent.places,place.org.parent.parent.parent.kind,place.org.parent.parent.parent.parent,place.org.parent.parent.parent,place.org.parent,place.place,place.org.parent.parent
case,"",https://rr0.org/time/1/9/6/7/02/index.html#1967-02-05,Sauvigny-le-Bois (Yonne),,,"","",,,1967-02-05,"le , M. et Mme témoin et leur petite-fille vivent une RR3 : un objet en forme de cigare éclaire l'environnement, approche silencieusement à 25 m des témoins, oscille et touche le sol. Un petit être en combinaison en descend. Puis, rentrés dans leur maison, ils voient une boule rouge se former, décoller et s'éloigner dans le ciel. Aucune trace n'est relevée.",""""",""L'observation de Sauvigny-le-bois"",s1,""""""Poher, Claude"""""",Universons,2004,"""","""",""Les faits étranges qui sont à l'origine des travaux scientifiques présentés sur ce site"",s2,""""""Poher, C."""""",Universons,2004,""""",1967-02-05
case,"",https://rr0.org/time/1/9/6/7/02/index.html#1967-02-09,Odessa (Delaware),,,"","",,,1967-02-09,le Observation à.,""""",,s3,"""",,11350,""""",1967-02-09
case,"",https://rr0.org/time/1/9/6/7/02/index.html#1967-02-12,Grand Rapids (Michigan),,,"","",,,1967-02-12,le Observation à.,""""",,s4,"""",,11355,""""",1967-02-12
case,"",https://rr0.org/time/1/9/6/7/02/index.html#1967-02-16,Stoughton (Wisconsin),,,"","",,,1967-02-16,le Observation à.,""""",,s5,"""",,11383,""""",1967-02-16
case,"",https://rr0.org/time/1/9/6/7/02/index.html#1967-02-20,Oxford (Wisconsin),,,"","",,,1967-02-20,le Observation à.,""""",,s6,"""",,11394,""""",1967-02-20
case,"",https://rr0.org/time/1/9/6/7/02/index.html,Roosevelt (Utah),,,"","",,,1967-02,4 étudiants grade à jouent avec une planche de Ouija et sont informés qu'une soucoupe volante apparaîtra au-dessus de l'hopital de la ville à 20:00 le 23 février.,"",1967-02
case,"",https://rr0.org/time/1/9/6/7/02/index.html#1967-02-23T20:00,Roosevelt (Utah),,,"","",,,1967-02-23T20:00,"le , les enfants de la famille de Clyde McDonald se ruent dehors pour se rendre au rendez-vous et rentrent à l'intérieur en courant. L'ovni est là. Les parents confirment qu'il y a effectivement une grosse boule de lumière orange au sud-est au-dessus de l'hôpital.","",1967-02-23T20:00
case,"",https://rr0.org/time/1/9/6/7/02/index.html#1967-02-24,Roosevelt (Utah),,,"","",,,1967-02-24,"le A l'école de , l'observation de la veille est sujet de conversation, nombre d'autres fourth grader l'ayant vue aussi. Plusieurs autres personnes sont documentées comme ayant dit avoir vu la lumière ronde voyageant du sud au nord au-dessus de Roosevelt. Une boule orange pourrait ne pas être une soucoupe volante, mais cela semble toujours être un prédication avec succès impressionnante étant donné le statut de témoins multiples, la spécificité du moment prédit, et l'absence d'une source évidente de méprise (ballon de canular ?). Comme le fait remarquer Frank B. Salisbury, la chose vraiment intriguante est que la prédiction est venue d'un groupe d'enfants qui jouaient avec une planche Ouija. Qu'est-ce qu'un scientifique non-superstitieux du 20ème siècle peut dire de ça ?.",""""",""Still Waiting: A List of Predictions from the 'UFO Culture'"",s7,""""""Kottmeyer, M. S."""""",The Anomalist,1998,""""",1967-02-24
case,"",https://rr0.org/time/1/9/6/7/02/index.html#1967-02-26,Fargo (Dakota du Nord),,,"","",,,1967-02-26,le Observation (ci-contre) à.,"",1967-02-26
case,"",https://rr0.org/time/1/9/6/7/02/index.html#1967-02-27,Grand Haven (Michigan),,,"","",,,1967-02-27,le Observation à.,""""",,s8,"""",,11419,""""",1967-02-27
